,Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
0,W17_2001_6,C1,#BA2F29,o,20,0.6,8.0,63.76,70.0,425.5,0,460.06,0,271.32,588.18,1895.72
1,W17_2002_9,C3,#89C667,o,20,0.6,7.0,91.54,61.16,227.95,0,330.26,0,215.49,352.73,1135.67
2,W17_2003_6,C2,#E9C832,o,20,0.6,7.96,121.33,50.34,196.0,0,338.02,0,152.39,394.97,1287.24
3,W17_2013_7,C1,#BA2F29,o,20,0.6,8.4,63.71,91.67,438.0,0,280.75,0,593.7,351.79,1855.96
4,W17_2013_10,C3,#89C667,o,20,0.6,7.28,31.61,35.63,224.11,0,456.73,0,82.09,193.63,1045.62
5,W17_2014_8,C1,#BA2F29,o,20,0.6,7.54,20.62,67.88,283.93,0,336.29,0,268.95,234.68,1228.47
6,W17_2014_12,C1,#BA2F29,o,20,0.6,8.5,6.68,7.0,651.69,0,527.3,0,321.71,463.79,2047.13
7,W17_2015_4,C1,#BA2F29,o,20,0.6,8.63,12.04,17.4,510.49,0,447.1,0,311.33,306.79,1732.06
8,W17_2015_9,C1,#BA2F29,o,20,0.6,8.25,56.51,54.67,277.03,0,459.66,0,221.29,257.97,1341.2
9,W17_2016_6,C3,#89C667,o,20,0.6,7.35,73.42,68.25,267.11,0,504.64,0,273.96,259.2,1455.91
10,W17_2017_6,C3,#89C667,o,20,0.6,7.38,85.09,83.51,203.38,0,340.69,0,177.19,361.52,1096.0
11,W17_2017_10,C1,#BA2F29,o,20,0.6,7.95,89.31,62.91,201.23,0,304.01,0,298.52,248.57,1084.0
12,W19_2002_9,C2,#E9C832,o,20,0.6,7.6,92.99,40.84,161.87,0,202.57,0,173.36,326.99,760.01
13,W19_2003_6,C2,#E9C832,o,20,0.6,7.9,128.78,140.71,988.5,0,303.98,0,1658.63,426.2,3722.15
14,W19_2013_7,C1,#BA2F29,o,20,0.6,8.9,38.87,75.96,977.5,0,524.48,0,1043.77,561.82,3295.41
15,W19_2013_10,C1,#BA2F29,o,20,0.6,7.78,47.0,89.81,1113.54,0,646.25,0,1221.17,588.29,3721.94
16,W19_2014_8,C1,#BA2F29,o,20,0.6,7.96,11.78,85.15,1025.82,0,562.42,0,1152.63,546.04,3414.1
17,W19_2014_12,C1,#BA2F29,o,20,0.6,8.06,46.15,89.11,1168.72,0,667.5,0,1138.35,695.03,3824.02
18,W19_2015_4,C1,#BA2F29,o,20,0.6,8.12,43.51,90.67,990.27,0,639.97,0,1059.96,567.78,3410.54
19,W19_2015_9,C1,#BA2F29,o,20,0.6,8.27,40.81,68.27,897.43,0,729.22,0,927.2,419.82,3099.55
20,W19_2017_7,C1,#BA2F29,o,20,0.6,7.93,29.2,64.74,890.47,0,698.07,0,821.53,368.6,2488.0
21,W19_2017_10,C1,#BA2F29,o,20,0.6,7.7,24.41,53.59,588.31,0,455.12,0,570.82,409.5,1879.0
22,W18_2003_6,C2,#E9C832,o,20,0.6,7.3,262.89,132.32,274.5,0,168.88,0,586.74,593.37,2317.14
23,W18_2013_7,C2,#E9C832,o,20,0.6,8.5,180.32,78.58,210.0,0,225.22,0,290.15,370.17,1614.83
24,W18_2013_7,C2,#E9C832,o,20,0.6,8.2,105.82,41.91,138.3,0,172.77,0,145.55,312.41,1006.01
25,W18_2013_10,C2,#E9C832,o,20,0.6,7.33,203.0,50.59,179.9,0,503.33,0,165.54,348.8,1559.21
26,W18_2013_10,C2,#E9C832,o,20,0.6,7.08,185.3,72.84,201.24,0,264.09,0,289.7,381.23,1633.69
27,W18_2014_8,C4,#67ACE6,o,20,0.6,7.1,102.12,47.64,144.12,0,185.54,0,193.85,214.96,1048.14
28,W18_2014_12,C2,#E9C832,o,20,0.6,7.6,140.26,50.45,155.79,0,262.12,0,181.32,234.98,1228.54
29,W18_2015_4,C2,#E9C832,o,20,0.6,8.08,134.7,53.34,162.47,0,263.0,0,179.96,236.79,1245.12
30,W18_2015_9,C2,#E9C832,o,20,0.6,8.2,127.81,95.46,333.56,0,391.57,0,530.62,301.92,1820.15
31,W18_2016_6,C1,#BA2F29,o,20,0.6,8.75,8.01,10.36,515.84,0,573.17,0,323.25,231.51,1711.08
32,W18_2017_7,C4,#67ACE6,o,20,0.6,7.23,132.1,49.65,160.45,0,252.38,0,181.22,146.1,996.0
33,W18_2017_10,C4,#67ACE6,o,20,0.6,6.9,130.18,38.98,113.52,0,215.33,0,165.06,195.0,892.0
34,W15_2001_6,C2,#E9C832,o,20,0.6,6.5,100.04,52.27,94.2,0,79.63,0,135.43,386.69,884.41
35,W15_2002_9,C4,#67ACE6,o,20,0.6,7.1,98.6,31.7,56.63,0,191.52,0,43.1,250.52,627.31
36,W15_2003_6,C2,#E9C832,o,20,0.6,7.9,138.36,47.12,105.1,0,147.39,0,161.72,399.56,1025.85
37,W15_2004_9,C4,#67ACE6,o,20,0.6,8.3,65.2,9.27,19.5,0,104.0,0,67.3,44.3,582.0
38,W15_2005_4,C4,#67ACE6,o,20,0.6,8.1,63.6,23.3,35.0,0,113.0,0,67.8,46.4,426.0
39,W15_2006_9,C2,#E9C832,o,20,0.6,7.7,130.0,63.7,94.6,0,94.7,0,169.0,385.0,955.0
40,W15_2007_4,C4,#67ACE6,o,20,0.6,6.6,143.0,83.0,16.2,0,172.0,0,169.0,301.0,895.34
41,W15_2008_9,C2,#E9C832,o,20,0.6,7.5,146.0,77.8,109.0,0,296.0,0,106.0,391.0,1131.0
42,W15_2009_4,C2,#E9C832,o,20,0.6,7.5,159.2,88.2,39.2,0,231.0,0,132.0,405.0,1061.1
43,W15_2011_4,C1,#BA2F29,o,20,0.6,7.5,88.9,31.7,369.72,0,395.5,0,426.0,222.0,1534.44
44,W15_2011_9,C3,#89C667,o,20,0.6,7.6,72.3,25.8,403.2,0,696.3,0,172.0,326.0,1709.55
45,W15_2012_4,C3,#89C667,o,20,0.6,7.1,84.8,30.3,251.4,0,535.8,0,123.0,241.0,1291.0
46,W15_2012_9,C3,#89C667,o,20,0.6,6.5,111.3,39.7,268.8,0,629.2,0,132.0,310.0,1493.0
47,W15_2013_7,C2,#E9C832,o,20,0.6,8.3,85.3,43.22,143.6,0,151.17,0,168.54,288.79,903.34
48,W15_2013_10,C2,#E9C832,o,20,0.6,6.88,95.04,44.22,152.74,0,186.42,0,181.15,321.01,999.91
49,W15_2014_8,C2,#E9C832,o,20,0.6,6.86,108.01,46.45,164.06,0,173.94,0,206.08,357.16,1084.31
50,W15_2014_12,C2,#E9C832,o,20,0.6,7.5,117.79,55.23,160.62,0,173.73,0,194.72,422.36,1147.92
51,W15_2015_4,C2,#E9C832,o,20,0.6,7.69,118.04,55.86,158.2,0,160.72,0,190.76,440.27,1159.78
52,W15_2015_9,C2,#E9C832,o,20,0.6,8.26,118.4,53.58,89.06,0,167.41,0,114.21,382.85,950.87
53,W15_2016_6,C2,#E9C832,o,20,0.6,7.35,153.54,52.06,91.29,0,186.9,0,103.79,397.36,1012.74
54,W15_2017_7,C2,#E9C832,o,20,0.6,7.08,158.2,123.5,206.07,0,193.31,0,233.57,748.9,1576.0
55,W15_2017_10,C2,#E9C832,o,20,0.6,6.9,195.27,58.46,136.24,0,185.96,0,336.99,409.5,1236.0
56,W14_2001_6,C2,#E9C832,o,20,0.6,7.8,215.48,49.34,71.65,0,203.49,0,138.97,452.26,1230.53
57,W14_2002_9,C4,#67ACE6,o,20,0.6,7.0,259.72,43.66,85.94,0,228.36,0,134.15,277.42,1361.35
58,W14_2003_6,C4,#67ACE6,o,20,0.6,8.64,229.89,45.83,89.5,0,57.34,0,140.98,300.82,1342.02
59,W14_2004_9,C3,#89C667,o,20,0.6,8.3,37.4,74.4,189.0,0,359.0,0,137.0,98.8,746.0
60,W14_2005_4,C3,#89C667,o,20,0.6,8.1,35.8,32.9,69.3,0,386.0,0,133.0,99.2,734.0
61,W14_2006_9,C3,#89C667,o,20,0.6,7.4,55.9,70.5,174.0,0,389.0,0,117.0,227.0,1118.0
62,W14_2007_4,C3,#89C667,o,20,0.6,7.4,80.4,49.8,137.3,0,387.0,0,171.0,119.0,1003.5
63,W14_2008_9,C3,#89C667,o,20,0.6,7.6,42.9,52.9,217.0,0,266.0,0,73.4,155.0,759.0
64,W14_2009_4,C3,#89C667,o,20,0.6,7.3,98.9,65.0,172.3,0,355.0,0,158.0,222.0,1109.0
65,W14_2011_4,C3,#89C667,o,20,0.6,7.5,83.0,29.6,182.54,0,210.0,0,148.0,196.0,1025.78
66,W14_2011_9,C3,#89C667,o,20,0.6,7.5,46.9,16.7,123.1,0,243.8,0,83.4,36.7,673.3
67,W14_2012_9,C3,#89C667,o,20,0.6,7.9,55.8,19.9,148.3,0,318.0,0,121.0,61.1,1019.0
68,W14_2013_10,C2,#E9C832,o,20,0.6,7.81,172.8,56.07,106.17,0,226.81,0,120.14,488.7,1206.04
69,W14_2014_8,C2,#E9C832,o,20,0.6,7.0,174.78,64.91,113.29,0,139.15,0,125.74,639.46,1277.27
70,W14_2014_12,C2,#E9C832,o,20,0.6,7.75,211.91,65.91,115.26,0,246.88,0,122.41,584.08,1367.21
71,W14_2015_4,C2,#E9C832,o,20,0.6,7.9,198.58,67.93,114.23,0,222.09,0,122.37,664.59,1405.95
72,W14_2015_9,C2,#E9C832,o,20,0.6,8.22,216.16,66.63,112.42,0,261.04,0,134.04,585.86,1393.66
73,W14_2016_6,C2,#E9C832,o,20,0.6,7.8,202.71,65.21,111.47,0,255.44,0,152.78,749.93,1541.27
74,W14_2017_7,C2,#E9C832,o,20,0.6,7.52,222.0,75.08,113.41,0,279.23,0,128.87,609.4,1284.0
75,W14_2017_10,C2,#E9C832,o,20,0.6,7.4,244.09,77.95,85.79,0,215.33,0,130.67,682.51,1337.0
76,W16_2000_9,C2,#E9C832,o,20,0.6,7.9,223.86,56.37,129.53,0,225.06,0,177.07,606.52,1435.71
77,W16_2001_6,C2,#E9C832,o,20,0.6,7.8,195.03,67.34,223.0,0,271.32,0,394.13,282.52,1641.36
78,W16_2002_9,C2,#E9C832,o,20,0.6,7.6,189.18,69.92,109.0,0,135.05,0,125.4,642.83,1232.45
79,W16_2003_6,C2,#E9C832,o,20,0.6,8.0,187.32,62.61,110.2,0,171.95,0,127.51,610.82,1297.61
80,W16_2013_7,C2,#E9C832,o,20,0.6,8.4,220.27,72.03,142.75,0,172.77,0,184.81,637.95,1504.97
81,W16_2013_10,C2,#E9C832,o,20,0.6,7.16,159.1,52.26,104.38,0,208.17,0,110.59,478.5,1133.46
82,W16_2014_8,C2,#E9C832,o,20,0.6,6.96,188.53,80.98,130.44,0,139.15,0,153.68,738.93,1474.25
83,W16_2014_12,C2,#E9C832,o,20,0.6,7.52,168.8,56.71,125.89,0,216.4,0,157.68,509.52,1256.09
84,W16_2015_4,C2,#E9C832,o,20,0.6,7.95,152.29,67.65,138.84,0,201.64,0,161.96,527.76,1284.75
85,W16_2015_9,C2,#E9C832,o,20,0.6,8.03,186.56,60.65,106.1,0,252.53,0,126.11,526.21,1278.57
86,W16_2016_6,C2,#E9C832,o,20,0.6,7.75,110.55,44.59,81.73,0,155.75,0,102.54,277.32,821.52
87,W16_2017_7,C4,#67ACE6,o,20,0.6,7.37,84.23,38.64,130.11,0,193.31,0,221.49,197.7,796.0
88,W16_2017_10,C4,#67ACE6,o,20,0.6,7.1,97.63,38.98,99.13,0,190.86,0,144.42,253.5,762.0
89,W13_2003_6,C3,#89C667,o,20,0.6,7.8,88.34,29.69,74.75,0,208.8,0,94.33,111.6,716.77
90,W13_2004_9,C4,#67ACE6,o,20,0.6,7.6,142.0,25.1,40.9,0,211.0,0,80.7,109.0,1350.0
91,W13_2005_4,C4,#67ACE6,o,20,0.6,7.7,146.0,31.6,55.5,0,248.0,0,81.5,76.4,694.0
92,W13_2006_9,C3,#89C667,o,20,0.6,7.8,112.0,27.3,62.9,0,250.0,0,123.0,145.0,788.9
93,W13_2007_4,C3,#89C667,o,20,0.6,8.1,101.0,49.2,89.7,0,244.0,0,126.0,108.0,718.0
94,W13_2008_9,C4,#67ACE6,o,20,0.6,7.3,90.0,21.2,108.0,0,177.0,0,139.0,103.0,647.5
95,W13_2009_4,C3,#89C667,o,20,0.6,7.3,109.2,63.1,79.3,0,300.0,0,137.0,133.0,847.6
96,W13_2011_4,C3,#89C667,o,20,0.6,7.6,70.8,25.3,163.84,0,146.5,0,116.0,124.0,927.19
97,W13_2011_9,C3,#89C667,o,20,0.6,7.5,82.4,29.4,203.3,0,394.5,0,122.0,124.0,1136.33
98,W13_2012_4,C3,#89C667,o,20,0.6,7.6,97.7,34.8,222.2,0,482.0,0,182.0,137.0,1501.0
99,W13_2012_9,C3,#89C667,o,20,0.6,7.8,96.4,34.4,289.3,0,446.0,0,134.0,155.0,1275.0
100,W13_2013_10,C3,#89C667,o,20,0.6,8.3,201.8,32.42,72.42,0,217.49,0,128.58,159.81,1182.95
101,W13_2014_8,C4,#67ACE6,o,20,0.6,7.5,98.19,22.63,75.81,0,115.96,0,115.26,144.38,697.82
102,W13_2014_12,C3,#89C667,o,20,0.6,7.81,183.37,36.09,76.86,0,252.98,0,124.17,145.35,1105.79
